user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
OMJHEitskailey,yourstruly,167389439469948928,2012-02-08 23:28:47,/OMJHEitskailey/status/167389439469948928,0,0,0,Lol don't u love how u have ur hair & make up perfect before the concert & after dancing/singing it fades away.. #Metoo pic.twitter.com/BQ7REkGj,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Lol don't u love how u have ur hair &amp; make up perfect before the concert &amp; after dancing/singing it fades away.. <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/Metoo?src=hash""><s>#</s><b><strong>Metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/Metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""http://t.co/BQ7REkGj"">pic.twitter.com/BQ7REkGj</a></p>"
maddiestanley1,Maddie Stanley,167388176179150849,2012-02-08 23:23:45,/maddiestanley1/status/167388176179150849,0,0,0,@Tayzorheusink  #metoo,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und"">@Tayzorheusink  <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
donna___nguyen,Donna Nguyen,167386619169607680,2012-02-08 23:17:34,/donna___nguyen/status/167386619169607680,0,0,0,@itty_bitt high five people in the face ?? .. with a chair ? #metoo,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""91300717"" dir=""ltr"" href=""/itty_bitt""><s>@</s><b>itty_bitt</b></a> high five people in the face ?? .. with a chair ? <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
proudformiley,wtf,167386544448081920,2012-02-08 23:17:16,/proudformiley/status/167386544448081920,0,0,0,"@Soriibel24 #MeToo Mi Amor Todavia me acuerdo ""Que cupido te fleche con una Real Persona"" (:","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""es"">@Soriibel24 <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MeToo?src=hash""><s>#</s><b><strong>MeToo</strong></b></a><a dir=""ltr"" href=""/hashtag/MeToo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span> Mi Amor Todavia me acuerdo ""Que cupido te fleche con una Real Persona"" (:</p>"
nrouse,Natalie,167384783431802881,2012-02-08 23:10:16,/nrouse/status/167384783431802881,0,0,0,@chadcherry Fact. #metoo,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""29448523"" dir=""ltr"" href=""/chadcherry""><s>@</s><b>chadcherry</b></a> Fact. <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
Jordan_0814,Cheese Curd,167384082622316547,2012-02-08 23:07:29,/Jordan_0814/status/167384082622316547,0,0,0,@LizzCD7777777  #MeToo,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und"">@LizzCD7777777  <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MeToo?src=hash""><s>#</s><b><strong>MeToo</strong></b></a><a dir=""ltr"" href=""/hashtag/MeToo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
abtimusprime,Abigail Brown,167383926761996288,2012-02-08 23:06:52,/abtimusprime/status/167383926761996288,0,1,0,@makksauce @MarkSnitchens4 lololllolol #metoo,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""505419017"" dir=""ltr"" href=""/Makksauce""><s>@</s><b>makksauce</b></a> @MarkSnitchens4 lololllolol <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span></p>"
jessicadowdall,Jessica Dowdall,167382052113616896,2012-02-08 22:59:25,/jessicadowdall/status/167382052113616896,0,0,0,@frenchers @timtimyall #metoo #sososososoawesome,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""und""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""94092575"" dir=""ltr"" href=""/frenchers""><s>@</s><b>frenchers</b></a> <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""221016176"" dir=""ltr"" href=""/timtimyall""><s>@</s><b>timtimyall</b></a> <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/metoo?src=hash""><s>#</s><b><strong>metoo</strong></b></a><a dir=""ltr"" href=""/hashtag/metoo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/sososososoawesome?src=hash""><s>#</s><b>sososososoawesome</b></a></p>"
capelessT,Walker,167381771162353664,2012-02-08 22:58:18,/capelessT/status/167381771162353664,0,0,0,"@RobertKirkman ""I believe in comic books""  . . . #MeToo! Thanks for bringing some real world to the ink & paper party! #thiefofthieves","<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en""><a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""38682272"" dir=""ltr"" href=""/RobertKirkman""><s>@</s><b>RobertKirkman</b></a> ""I believe in comic books""  . . . <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MeToo?src=hash""><s>#</s><b><strong>MeToo</strong></b></a><a dir=""ltr"" href=""/hashtag/MeToo?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span>! Thanks for bringing some real world to the ink &amp; paper party! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/thiefofthieves?src=hash""><s>#</s><b>thiefofthieves</b></a></p>"
StarGleek996,katie darlin'  ❤,167380763229175808,2012-02-08 22:54:18,/StarGleek996/status/167380763229175808,0,0,0,@fonz_1991 #METOO lol. She's become such a great character and I resonate a lot with her…,"<p class=""TweetTextSize js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">@fonz_1991 <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/METOO?src=hash""><s>#</s><b><strong>METOO</strong></b></a><a dir=""ltr"" href=""/hashtag/METOO?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/MeToo_v3/MeToo_v3.png""/></a></span> lol. She's become such a great character and I resonate a lot with her…</p>"
